date,total_equity,cash,HD_Shares,LOW_Shares,WMT_Shares,TGT_Shares,SPY_Shares,z_hd_low,z_wmt_tgt,vix
2026-09-02,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,,,
2026-09-03,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.0758,0.2577,14.32
2026-09-04,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.7621,-0.0884,14.53
2026-09-05,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.7621,-0.0884,14.53
2026-09-06,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.7621,-0.0884,14.53
2026-09-07,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.7621,-0.0884,15.3
2026-09-08,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.2424,-0.4966,15.3
2026-09-09,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.2733,-0.8726,16.46
2026-09-10,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.5128,-1.0033,17.84
2026-09-11,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.9231,-0.5707,15.84
2026-09-12,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.9231,-0.5707,15.84
2026-09-14,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.8402,0.1932,17.1
2026-09-15,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.8426,-0.3701,17.2
2026-09-16,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.2202,-0.526,17.71
2026-09-17,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.2154,-0.4455,15.44
2026-09-18,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.0941,-0.5513,14.81
2026-09-21,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.064,-0.3279,14.87
2026-09-22,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-0.9278,0.6607,14.21
2026-09-23,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,-1.1525,0.643,15.18
